nid;transaccion_tipo;digitalizacion_medir;digitalizacion_observacion;descargas_obligatorias;formulario_digital;turno_requerido;turno_digital;identificacion_digital;posee_notificaciones;notificaciones;pago_requerido_list;pago_electronico_list;resumen_nivel;relevamiento_observaciones;recomendacion;observacion_recomendacion;texto_servicio;cat1;cat2;cat3;cat4
356;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;SI;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;2;"Links ""BAJAR IMPRIMIR"" y ""Solicitud de inscripción"" rotos. Por lo que no sabemos si el archivo que se baja es definitivamente apto para presentar";NINGUNA;;Habilitar establecimiento de salud ;Instituto, clínica, sanatorio o materindad;;Habilitar instituto, clínica, sanatorio o materindad;
357;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Cambiar dirección médica/técnica de un establecimiento;Asistencial;;Registrar modificaciones en el registro / cambiar direccion establecimiento asistencial;
358;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;"Links ""Bajar imprimir"" y "" Modelo de Solicitud de Autorización Individual Laser"" rotos. Por lo que no sabemos si el archivo que se baja es definitivamente apto para presentar";NINGUNA;;Autorizar uso de equipo de Rx / Láser;Rx;;;
359;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar reclamo;Administrativo;Por una deuda inexistente que le requiere la prestadora;;
360;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar reclamo;Administrativo;Por un error en el período de facturación del consumo;;
361;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar reclamo;Servicio de gas;Por escaso suministro (sin gas/poco gas);;
362;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;JUNTAR;"362;363";Realizar reclamo;Administrativo;Por factura no recibida;;
363;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;JUNTAR;"362;363";Realizar reclamo;Administrativo;Por factura recibida con atraso;;
364;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar reclamo;Administrativo;Por facturación errónea ;;
365;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar reclamo;Servicio de gas;Por demorada en habilitación o rehabilitación del suministro;;
366;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar reclamo;Servicio de gas;Por pérdida de gas (olor a gas);;
367;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar reclamo;Servicio de gas;Por demora o incorrecta reparación de la vía pública por parte de la prestadora;;
368;SIN INFORMACIÓN;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;;;;;
369;ACTIVIDAD;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;4;"Revisar: el botón de ""Iniciar"" da un Error 404";NINGUNA;;;;;;
370;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;;;;;
371;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;"Links ""BAJAR IMPRIMIR"" y ""Modelo de Solicitud de Autorización para Ejercer"" rotos. Por lo que no sabemos si el archivo que se baja es definitivamente apto para presentar";JUNTAR;"371;391";Obtener autorización para ejercer;Autorizar ejercicio de profesional de la salud;;;
372;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;SI;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;2;"Links ""Bajar imprimir"" y ""Modelo de Solicitud de Habilitación"" rotos. Por lo que no sabemos si el archivo que se baja es definitivamente apto para presentar";NINGUNA;;Habilitar establecimiento de salud ;Centro médico;;Habilitar centro médico;
373;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;"Links ""BAJAR IMPRIMIR"" y ""Solicitud de inscripción"" rotos. Por lo que no sabemos si el archivo que se baja es definitivamente apto para presentar";NINGUNA;;Habilitar establecimiento de salud ;Vacunatorio;;Habilitar vacunatorio;
374;SOLICITUD;SI;;SI;NO;SI;SI;NO;NO;SIN INFORMACIÓN;NO;NO;3;Anses provee de formularios en su cartilla pero dan error de 404 al tratar de acceder;NINGUNA;;Obtener asignación familiar;Por prenatal;;;
375;INSCRIPCIÓN;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;3;"La boleta se puede solicitar por mail. 
Revisar si se puede incluir el link a la solicitud de inscripción.
No queda muy claro pero entiendo que la solicitud de inscripción puede ser enviada vía mail.";NINGUNA;;Inscribirse en el registro de productores asesores de seguros;;;;
376;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;"Links ""Bajar imprimir"" y ""modelo de Solicitud de Inscripción"" rotos. Por lo que no sabemos si el archivo que se baja es definitivamente apto para presentar";NINGUNA;;Habilitar establecimiento de salud ;Centro de salud mental y atención psiquiátrica;;Habilitar centro de salud mental;
377;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;2;"Links ""Bajar imprimir"" y "" Modelo de Solicitud de Autorización Individual Laser"" rotos. Por lo que no sabemos si el archivo que se baja es definitivamente apto para presentar";NINGUNA;;Autorizar uso de equipo de Rx / Láser;Láser;;;
378;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;"Links ""BAJAR IMPRIMIR"" y ""Solicitud de habilitación"" rotos. Por lo que no sabemos si el archivo que se baja es definitivamente apto para presentar";NINGUNA;;Habilitar establecimiento de salud ;Local ortopédico;;Habilitar local ortopédico;
380;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Obtener licencia especial deportiva;;;;
381;SOLICITUD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Obtener beca/apoyo económico;Deportistas;;;
382;ASESORAMIENTO;SI;;NO;NO;SI;SI;NO;NO;SIN INFORMACIÓN;NO;NO;3;;NINGUNA;;Comercializar productos de origen vegetal;Asesoramiento;Sobre importación, exportación y tránsito de productos vegetales;;
383;SIN INFORMACIÓN;NO;x Error en página;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;Error 500;ELIMINAR;;Gestionar establecimientos para frutas y hortalizas;;;;
384;SOLICITUD;SI;;SI;NO;SI;SI;NO;NO;SIN INFORMACIÓN;NO;NO;3;;NINGUNA;;Obtener reconocimiento de servicios ;;;;
385;INSCRIPCIÓN;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;3;"La boleta se puede solicitar por mail. 
Revisar si se puede incluir el link a la solicitud de inscripción.
No queda muy claro pero entiendo que la solicitud de inscripción puede ser enviada vía mail.";NINGUNA;;Inscribirse en el registro de liquidadores de siniestros y averías;;;;
386;SOLICITUD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Solicitar arbitraje de consumo;;;;
387;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar reclamo;Administrativo;Por cobro de cargo incorrecto;;
388;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar reclamo;Servicio de gas;Por corte improcedente del servicio ;;
389;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Comercializar productos de origen vegetal;Solictar certificado ;de importación de productos vegetales;;Obtené el certificado de importación de productos vegetales
391;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;"Links ""BAJAR IMPRIMIR"" y ""Solicitud de Autorización para Ejercer"" rotos. Por lo que no sabemos si el archivo que se baja es definitivamente apto para presentar";JUNTAR;"371;391";Obtener autorización para ejercer;;;Obtener autorización para ejercer como odontólogo;
392;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;1;;NINGUNA;;;;;;
394;DOCUMENTACIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;2;;NINGUNA;;Obtener franquicia automotor;Beneficio - Automotor;;;
395;SOLICITUD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Solicitud de Análisis de electroforesis de proteínas en trigo, avena y cebada;;;;
397;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;El reclamo lo podes realizar via internet o via SMS;NINGUNA;;Realizar reclamo;Servicio eléctrico;Por falta de servicio actualmente o recientemente;;
398;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;Se puede realizar personaqlmente, telefono, fax o correo postal;NINGUNA;;Realizar reclamo;Servicio eléctrico;Por un tratamiento inadecuado ante denuncia relacionada con daños al medio ambiente;;
400;ASESORAMIENTO;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;Asesoramiento por vía telefónica, presencial y/o correo electrónico.;JUNTAR;"739;320;743;746;747;748;749;750;751;752;753;754";;;;;
401;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;;NINGUNA;;Gestionar agroquímicos/fitosanitario;Obtener certificado ;Para exportar agroquímicos;;Obtener el certificado para exportar agroquímicos
402;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;;NINGUNA;;Gestionar agroquímicos/fitosanitario;Obtener certificado ;Para importar agroquímicos;;Obtener el certificado para importar agroquímicos
403;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;2;;NINGUNA;;Solicitar informe de inmueble;Inscripción dominial - Informe 4;;;
404;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;La forma de pago electrónica solo aplica si la consulta se realiza desde el interior del país, o mediante https://tramitesadistancia.gob.ar , sino el pago es presencial. Esto se encuentra en la página oficial NO en argentina.gob.ar;NINGUNA;;Registrar autoría / derechos de autor;Cesión derechos de publicación periódica;;;
405;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;1;;NINGUNA;;Solicitar informe de inmueble;Dominio y gravámenes - Informe 1;;;
406;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;SI;NO;NO;SIN INFORMACIÓN;NO;NO;1;El instituto se pone en contacto con el solicitante para coordinar una convocatoria;NINGUNA;;Ingresar a Institutos de Formación de Prefectura Naval Argentina (IFPNA);;;;
409;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Mediadores y Conciliadores Laborales;Inscripciones;;;
410;INSCRIPCIÓN;SI;;SI;SI;NO - NO APLICA TURNO;NO;CLAVE PROPIA;SI;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;4;"Revisar: Link y Contenidos. 
Según la web del INPI existe un portal web de trámites. Cuenta con clave propia y clave fiscal.";NINGUNA;;Obtener, renovar y transferir Marcas, Patentes y Modelos;Renovaciones;;;
411;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;SI;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;2;"Links ""Bajar imprimir"" y ""Modelo de Solicitud de Habilitación"" rotos. Por lo que no sabemos si el archivo que se baja es definitivamente apto para presentar";NINGUNA;;Habilitar establecimiento de salud ;Centro odontológico;;Habilitar centro odontológico;
412;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Gestionar embalajes de madera;Inscribir y habilitar ;Embalajes de madera;;Inscribir y habilitar los centros de aplicación de tratamiento de embalajes de madera
413;DOCUMENTACIÓN;NO;x Error en página;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;Error 500;ELIMINAR;;Obtener VISA;Negocios;;;
414;SOLICITUD;SI;;SI;NO;SI;SI;CLAVE PROPIA;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;3;"El link ""Portal de abogados"" está roto. Creo que debería apuntar a https://login-pub.trabajo.gob.ar/Login.aspx";NINGUNA;;Homologar acuerdos espontáneos;;;;
415;CONSULTA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;;;;;
416;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Numerar arma de fuego;;;;
417;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Obtener permiso de tenencia;Chaleco antibalas;;;
419;ASESORAMIENTO;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;;NINGUNA;;;;;;
420;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Realizar reclamo;Servicio de gas;Por pago de daños y perjuicios que debe realizar una licenciataria o subdistribuidor como consecuencia de la instalación de un gasoducto en un inmueble;Consultar ;
421;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar reclamo;Servicio de gas;Por pago de daños y perjuicios como consecuencia de la instalación de un gasoducto en un inmueble;Reclamar;
422;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Consultar por reclamo;Servicio de gas;Por pago que debe realizar una licenciataria o un subdistribuidor por una servidumbre de paso de gasoducto;Consultar ;
423;INSCRIPCIÓN;SI;;SI;SI;SI;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;3;;NINGUNA;;Formar Sociedades comerciales;Inscripción;;;
424;INSCRIPCIÓN;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Informar que sos donante;;;;
425;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;El trámite requiere la extracción de sangre del potencial donante.;NINGUNA;;Informar que sos donante;;;;
426;DOCUMENTACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;CLAVE PROPIA;NO;SIN INFORMACIÓN;NO;NO;4;Se usa el sistema de acceso coorporativo;NINGUNA;;Cooperativas y Mutuales;Documentación;;;
427;SOLICITUD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Solicitar asignación de Numeración ;No Geográfica (8XY - 6XY);;;
428;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar reclamo;Servicio de gas;Por indemnizados por los perjuicios que originó la constitución de las servidumbre de gasoducto ;Reclamar;
429;ASESORAMIENTO;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;"El link es el mismo que para una denuncia.
Aparentemente manejar consultas / denuncias con el mismo sistema.";NINGUNA;;;;;;
430;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
432;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar denuncias;Seguro automotor;;;
433;SIN INFORMACIÓN;NO;x Error en página;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;Error 500;ELIMINAR;;Comercializar productos de origen animal;;;;Certificación de productos de origen animal hacia zonas restringidas del país
434;DOCUMENTACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI - SEGÚN DEPENDENCIA;1;;NINGUNA;;Obtener PASAPORTE;Original;;;Exterior
435;DOCUMENTACIÓN;SI;;NO;SI;SI;SI;NO;SI;SIN INFORMACIÓN;SI - OBLIGATORIO;SI - SEGÚN DEPENDENCIA;3;;NINGUNA;;Obtención y renovación de documentos;Patente;;;
436;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Gestionar establecimientos para productos de origen animal;Solicitar ampliación de habilitación;De establecimientos de productos animales;;Solicitar la ampliación de la habilitación de establecimientos de productos animales
437;SOLICITUD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Gestionar establecimientos para productos de origen animal;Eximir depósito en garantía;Para establecimientos de productos animales;;Eximir de depósito en garantía para establecimientos de productos animales
438;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI - SEGÚN DEPENDENCIA;1;;NINGUNA;;Solicitudes e Inscripciones;Estado del vehículo;;;
439;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Solicitar eximición de turno para un establecimiento farmacéutico;;;Solicitar eximición de turnos para farmacias;
440;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Solicitar cierre por vacaciones de un establecimiento farmacéutico;;;Solicitar vacaciones para establecimientos farmaceúticos;
441;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;;NINGUNA;;Gestionar embalajes de madera;Inscribir en Registro;Embalajes de madera;;Inscribir en el Registro Profesionales de CATEM, HOSETRAM y FEM
443;INSCRIPCIÓN;SI;;SI;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Teatro Independiente;;;;
444;CONSULTA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;"Revisar link (en línea / consultar) que no funciona.
Asumo que la consulta online debiera funcionar.";NINGUNA;;;;;;
446;SOLICITUD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;Error 500;NINGUNA;;Teatro Independiente;;;;
447;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;2;;NINGUNA;;Solicitar autorización para modificar red radioeléctica;;;;
448;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Gestionar embalajes de madera;Inscribir y habilitar ;Fábricas de embalajes de maderas para soporte y acomodación;;Inscribir y habilitar fábricas de embalajes de maderas para soporte y acomodación
449;SOLICITUD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI - SEGÚN DEPENDENCIA;1;;NINGUNA;;Obtener VISA;Turista;;;
451;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Mediadores y Conciliadores Laborales;Denuncias;;;
453;SOLICITUD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Declaración de Interés Cultural;;;;
454;DOCUMENTACIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;2;;NINGUNA;;Importación y exportación de Obras de arte;;;;
455;INSCRIPCIÓN;SI;;SI;SI;SI;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;3;;NINGUNA;;Autorizaciones para Personería jurídica;;;;
456;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;2;"Links ""Bajar imprimir"" y ""Solicitud de habilitación de equipo/s de Rx"" rotos. Por lo que no sabemos si el archivo que se baja es definitivamente apto para presentar";NINGUNA;;Habilitar equipo;Rx;;Habilitar equipo de Rx / Láser;
457;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Autorizar difusión de publicidad;Autorizar publicidad;;;
458;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;La forma de pago electrónica solo aplica si la consulta se realiza desde el interior del país.;NINGUNA;;Registrar autoría / derechos de autor;Autoría de software en estado público;;;
459;INSCRIPCIÓN;SI;;NO;SI;NO - NO APLICA TURNO;NO;CLAVE FISCAL;SI;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;4;"La forma de pago electrónica solo aplica si la consulta se realiza desde el interior del país.
El trámite digital se hace mediante: https://tramitesadistancia.gob.ar/ (esto no se encuentra en argentina.gob.ar)";NINGUNA;;Registrar autoría / derechos de autor;Autoría de de obra de multimedia;;;
460;ACTIVIDAD;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;4;"Revisar: el botón de ""Iniciar"" da un Error 404";NINGUNA;;;;;;
461;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;"La forma de pago electrónica solo aplica si la consulta se realiza desde el interior del país, sino el pago es presencial.
Si el pedido es del interior tampoco es necesaria la presencia del ciudadano";NINGUNA;;Registrar autoría / derechos de autor;Autoría obra publicada;;;
462;INSCRIPCIÓN;SI;;NO;SI;NO - NO APLICA TURNO;NO;CLAVE FISCAL;SI;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;4;"Información incompleta en argentina.gob.ar
La presencia del ciudadano depende de si el trámite se hace mediante https://tramitesadistancia.gob.ar/ o si es presencial";NINGUNA;;Registrar autoría / derechos de autor;Autoría de de página Web;;;
463;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;La forma de pago electrónica solo aplica si la consulta se realiza desde el interior del país.;NINGUNA;;Registrar autoría / derechos de autor;Autoría de publicación periódica;;;
464;INSCRIPCIÓN;SI;;NO;NO;SI;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;1;"La forma de pago electrónica solo aplica si la consulta se realiza desde el interior del país.
En argentina.gob.ar no aclara lo de los turnos, sino que aclara que hay que acercarse a la DNDA.";NINGUNA;;Registrar autoría / derechos de autor;Autoría conjunta de música y letra;;;
465;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;La forma de pago electrónica solo aplica si la consulta se realiza desde el interior del país, sino el pago es presencial.;NINGUNA;;Registrar autoría / derechos de autor;Autoría de video o película;;;
466;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;"La forma de pago electrónica solo aplica si la consulta se realiza desde el interior del país, sino el pago es presencial.
Si el pedido es del interior tampoco es necesaria la presencia del ciudadano";NINGUNA;;Registrar contratos;Edición e interpretación musical;;;
467;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;La forma de pago electrónica solo aplica si la consulta se realiza desde el interior del país.;NINGUNA;;Registrar autoría / derechos de autor;Autoría de obra de TV, radio o teatro ;;;
470;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
471;DOCUMENTACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Habilitar personal;;;;
472;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Presentar mandamiento / oficio judicial;Sobre subasta judicial sobre buques;;;
